decile,cagr,ann_vol,sharpe,sortino,max_dd,win_rate
Q1,0.09701592260186187,0.07154406547013797,0.33341973090105487,0.3458798632775735,-0.28404930069911155,0.3205619412515964
Q2,0.0783858004925988,0.06580896669672798,0.29668644061958843,0.2883409175002693,-0.29672606131974844,0.32950191570881227
Q3,0.06722022379030523,0.06270984385118311,0.2699291620031185,0.2766843140329439,-0.29754260346065375,0.31545338441890164
Q4,0.08680842346219708,0.06337459801432489,0.3337300669106165,0.3395667970154808,-0.26418952758509506,0.32567049808429116
Q5,0.07558812432272166,0.062092119928523856,0.30096136510499527,0.29705750882060616,-0.264890115066652,0.3218390804597701
Q6,0.07927332754956273,0.06265444107308145,0.3112952602117923,0.31459523498195635,-0.2502010340552175,0.33077905491698595
Q7,0.07685484102464168,0.06186877007167605,0.3061802591727602,0.30748110804347006,-0.269653605479262,0.32567049808429116
Q8,0.07356113829244237,0.06410687547675255,0.2867329732879593,0.2872703636153543,-0.2817656255360792,0.3269476372924649
Q9,0.08911456883897295,0.06876744786913096,0.3198216785738199,0.330203330821349,-0.3004897867747212,0.31800766283524906
Q10,0.0999744906038269,0.07435092290679991,0.33191371770580386,0.3398331237351356,-0.2924733587151809,0.3269476372924649
