decile,max_drawdown,date_of_worst
Q1,-0.28404930069911155,2020-07-06
Q2,-0.29672606131974844,2020-07-06
Q3,-0.29754260346065375,2020-07-06
Q4,-0.26418952758509506,2011-09-19
Q5,-0.264890115066652,2020-06-22
Q6,-0.2502010340552175,2011-09-19
Q7,-0.269653605479262,2011-09-19
Q8,-0.2817656255360792,2011-09-19
Q9,-0.3004897867747212,2011-09-19
Q10,-0.2924733587151809,2011-09-19
