bucket,rolling_sharpe_mean,rolling_sharpe_min,rolling_sharpe_max,rolling_sharpe_std
Q1,0.4937810288542953,-0.9845460277585176,2.085165746167823,0.6201408507773177
Q2,0.41377137769573197,-0.903432690915661,2.107786144998752,0.613130417330959
Q3,0.42399873630103524,-1.0523823153447118,2.2560212880212513,0.632658914078959
Q4,0.4720429398888209,-1.001173210524607,1.870679826574769,0.5768504404327822
Q5,0.4338169454866321,-1.108678915947772,1.8783962935316159,0.5926666614181865
Q6,0.45254290553568055,-0.9717231218875666,2.1317838474608783,0.5994996047725243
Q7,0.42623976599237373,-1.0096777588080597,2.180083268090556,0.5863218246924299
Q8,0.412115327280714,-0.8396222990031089,2.0206989524825585,0.5651986330789395
Q9,0.4223158137696634,-0.8570292198502357,1.9841264034363149,0.567536743750858
Q10,0.4417089511686984,-0.7692891819462803,1.977297261653678,0.5154550861008131
