bucket,skewness,kurtosis,n_months
Q1,-0.372962164192079,4.537222416907012,783
Q2,-0.6118610880607118,4.998794888172728,783
Q3,-0.5056808430020554,4.360746500659847,783
Q4,-0.4170152710569783,4.194894204573698,783
Q5,-0.6350700838338053,4.482133522856051,783
Q6,-0.40545973556126336,4.720288559498723,783
Q7,-0.5862651846998088,4.774669873122349,783
Q8,-0.6202027840326996,4.130198135125362,783
Q9,-0.318827824815191,4.1297014140168145,783
Q10,-0.3208363309100428,4.740361693907872,783
