decile,2010-01 to 2013-09,2013-09 to 2017-06,2017-06 to 2021-03,2021-03 to 2024-12
Q1,0.15443013396498845,0.7163988978181817,0.18013250052135185,0.4455780651455326
Q2,0.21954956653890045,0.7160500932500593,0.08376347032306719,0.31756947594498114
Q3,0.1525527854401536,0.6570213774657152,0.027185014797166344,0.3550435975045352
Q4,0.15903551984632594,0.6318815716070871,0.15547320170893256,0.5049261291149626
Q5,0.21449674613146588,0.6727609634755117,0.1220826615238143,0.3347754747311509
Q6,0.23822145253333676,0.8052975849022034,0.12433834778217133,0.2674812524550946
Q7,0.17669420442481107,0.6409555233191979,0.1097003260682439,0.4254127036733241
Q8,0.13264301243195858,0.6811060998302776,0.12925371612809602,0.35406502287502295
Q9,0.11823970962786995,0.6264499398214669,0.30162090294377447,0.3882507453335849
Q10,0.2087615853738357,0.689375145697148,0.26309236944383985,0.3090376502709474
