decile,max_drawdown,date_of_worst
Q1,-0.37302614206264484,2020-02-29
Q2,-0.2854121188971621,2020-02-29
Q3,-0.23862704560768697,2020-02-29
Q4,-0.20611099001910077,2022-08-31
Q5,-0.32518036349384205,2022-08-31
