decile,max_drawdown,date_of_worst
Q1,-0.626978526059642,2009-01-31
Q2,-0.6202951436503809,2009-01-31
Q3,-0.5813341960947505,2009-01-31
Q4,-0.5804630611595631,2009-01-31
Q5,-0.789622933983826,2009-01-31
