decile,2009-05 to 2013-03,2013-03 to 2017-01,2017-01 to 2020-12,2020-12 to 2024-11
Q1,-0.0038008925098017197,0.3685354988755277,-0.059102464594630075,0.544917610537556
Q2,0.2189343281686334,0.4797436645228977,0.05263084368706334,0.7295750135739772
Q3,0.28617488969538457,0.4914201493077829,0.036280584677186006,0.4706116261374391
Q4,0.25783577486227993,0.6682122343219797,-0.01210146198732693,0.615809688583093
Q5,0.21956988203634398,0.37498306023015254,0.038563022217160986,0.4328182936738511
Q6,0.29702978517073275,0.6312445536373888,0.1190547637525046,0.4685931839330262
Q7,0.20163682791454643,0.4957290307570454,0.23037164287439407,0.36493926773830276
Q8,0.1909972180435176,0.3529040057242823,0.16084466930981772,0.35593169662142515
Q9,0.10862503719707343,0.46483204208956747,0.3050960832412419,0.43895056026616863
Q10,0.08875846078101615,0.2027237889386023,0.35054401984019445,0.30564574930659866
