decile,cagr,ann_vol,sharpe,sortino,max_dd,win_rate
Q1,0.06389861729172619,0.07997052349665389,0.217690487734781,0.19982725824394185,-0.34550533199313543,0.20246913580246914
Q2,0.11056740956408029,0.07861050252950766,0.34582200197518953,0.33698043261171157,-0.32617875518123385,0.2222222222222222
Q3,0.08004551442243613,0.06448475198386694,0.3067162230253096,0.27831134247468636,-0.329833769083205,0.20987654320987653
Q4,0.09105559784404171,0.062289773350490525,0.3526973437572176,0.3240299982304856,-0.27936396242610995,0.2234567901234568
Q5,0.06392943790216221,0.06235159535128895,0.2595565367794463,0.24220898816405567,-0.27182309946698624,0.2234567901234568
Q6,0.08996792244055873,0.06082591751309954,0.3559223945676774,0.33658786962434173,-0.256486646811561,0.2234567901234568
Q7,0.07392977469149575,0.06242572767738593,0.2938691977023468,0.26521681500532485,-0.2840794749811953,0.2222222222222222
Q8,0.06305045048961677,0.06486229510604853,0.24914139121976142,0.2259700414075135,-0.31737329175676277,0.2123456790123457
Q9,0.08251385284937762,0.06838424735420143,0.3006185610977976,0.27926555996369457,-0.2968976603672072,0.21975308641975308
Q10,0.06776454700101175,0.08201400513215014,0.2248642955472534,0.20098704881164417,-0.39108748538213783,0.22098765432098766
