bucket,rolling_sharpe_mean,rolling_sharpe_min,rolling_sharpe_max,rolling_sharpe_std
Q1,0.25858867872200497,-0.9048439891769355,1.6021394429184332,0.503712916669243
Q2,0.4350954641120982,-1.1827098069515156,2.279957745437848,0.5584722166743986
Q3,0.4411771016839522,-1.3218511626993914,1.7453225365913252,0.5447735573230091
Q4,0.4873428507978342,-1.2552955051541943,1.5930337571834334,0.548170211028164
Q5,0.4049057857470309,-1.1984733673264008,1.9543206282586276,0.589811267166442
Q6,0.4683438731115528,-1.0941810151164006,1.9977085308979692,0.5410610948639631
Q7,0.4216155762724323,-1.0764881476021337,2.0485007373864996,0.5409414749556958
Q8,0.3594168436022487,-0.9554206680514438,1.7588186943576498,0.5168731566868885
Q9,0.3871657224208238,-0.9116959467312047,1.592273654429851,0.5482927241887381
Q10,0.2928111142265047,-0.9377456892789262,1.9231620543396983,0.5568618777435567
