decile,2010-01 to 2013-09,2013-09 to 2017-06,2017-06 to 2021-03,2021-03 to 2024-12
Q1,0.2865423913650701,0.24717794338418925,0.21208227344850886,0.405535441857219
Q2,0.3868340796595258,0.27517700601167483,0.235246805037806,0.39230847882613434
Q3,0.39206897449004835,0.3991857405936421,0.2031333063060305,0.3443762954088657
Q4,0.3600705905660184,0.4068053307488895,0.3405446402116463,0.3921944564650921
Q5,0.3918216987610592,0.332044665375292,0.3761931392827115,0.3821154856132516
Q6,0.3462848498986802,0.4212471423555675,0.4139034420132542,0.33279072380776903
Q7,0.30905424306289686,0.426760411355627,0.44718315645792106,0.3346704792487268
Q8,0.31656353209618315,0.3289916933447019,0.4571664727763069,0.3249369539399294
Q9,0.2807390420930595,0.32265654587545245,0.5533430366636509,0.27504527131009027
Q10,0.31296613477027485,0.3380008922284368,0.4316556126089933,0.20169755272014492
