decile,max_drawdown,date_of_worst
Q1,-0.2695672462477775,2020-03-16
Q2,-0.2260842193610172,2020-03-16
Q3,-0.20706543422564794,2023-10-23
Q4,-0.22491938127451616,2011-09-26
Q5,-0.21087979540235516,2011-09-26
Q6,-0.2248622740684599,2011-09-26
Q7,-0.22485073393359814,2011-09-26
Q8,-0.21356747712685156,2011-09-26
Q9,-0.22837435663337985,2011-09-26
Q10,-0.2452025632354617,2011-09-26
