bucket,rolling_sharpe_mean,rolling_sharpe_min,rolling_sharpe_max,rolling_sharpe_std
Q1,0.39094541568239627,-0.9526420461677226,2.032395991220114,0.4865489133697566
Q2,0.437247338340976,-0.8520113027074968,2.0927986452912797,0.5170192070878281
Q3,0.44081344417223434,-1.1650617677835944,1.9505615803859202,0.47633867463016555
Q4,0.49157502938720044,-1.1611459580008798,1.9745039429043594,0.47170132736715503
Q5,0.4808722011322198,-1.1082098282082635,1.877571599762159,0.46850233680695474
Q6,0.4848575288151595,-1.1246345981425891,2.047395518907168,0.47209123094300753
Q7,0.4798810108672048,-1.124129518636682,1.891583064040492,0.4422274363435213
Q8,0.44838102701750226,-1.195880497117688,1.8974404470384592,0.46399124275393694
Q9,0.44608299139325236,-1.075227753514875,1.7342512072917757,0.44005118105543123
Q10,0.40067125467833925,-1.025077175881205,1.8330973071825645,0.4545670041832531
