decile,cagr,ann_vol,sharpe,sortino,max_dd,win_rate
Q1,0.09167951122036944,0.08342851046066276,0.28315909995246835,0.3943534497090983,-0.2695672462477775,0.5031928480204342
Q2,0.10430198137467261,0.08272650997905782,0.31686310899549375,0.4276821540504411,-0.2260842193610172,0.5019157088122606
Q3,0.10081782457242561,0.07774839417280806,0.32278494301069777,0.42105413872793435,-0.20706543422564794,0.508301404853129
Q4,0.11429803382632309,0.07586767890548862,0.3657380949133866,0.4808684354959644,-0.22491938127451616,0.5197956577266922
Q5,0.11261619953619006,0.07377488395765659,0.36934944911159645,0.4945842063852024,-0.21087979540235516,0.5134099616858238
Q6,0.11270941794091338,0.07327793501886062,0.37169198398929704,0.4933806070633963,-0.2248622740684599,0.5236270753512133
Q7,0.11410382868617108,0.07456702240904571,0.3704415128033032,0.49379137516145916,-0.22485073393359814,0.51213282247765
Q8,0.11012484892921326,0.07554215112964381,0.3556814384701978,0.47922253332771847,-0.21356747712685156,0.5210727969348659
Q9,0.11430777518250945,0.07903882564592662,0.35433035531846757,0.47826777158831496,-0.22837435663337985,0.5197956577266922
Q10,0.10523095212717637,0.08498618642717826,0.3131807384961469,0.42637263400513375,-0.2452025632354617,0.5146871008939975
