decile,max_drawdown,date_of_worst
Q1,-0.5111745200929285,2009-02-01
Q2,-0.5172855010681464,2009-02-01
Q3,-0.47420500724515646,2009-02-01
Q4,-0.45961109932550465,2009-02-01
Q5,-0.6913412475806031,2009-02-01
